id,code,name,user_type_id,chart_template_id/id,reconcile
account_11010101,11010101,เงินสดในมือ,Bank and Cash,nxpo_coa.chart,TRUE
account_11010102,11010102,เงินสดย่อย,Bank and Cash,nxpo_coa.chart,TRUE
account_11010104,11010104,เช็ครับล่วงหน้า,Bank and Cash,nxpo_coa.chart,TRUE
account_11010200,11010200,เงินฝากธนาคาร-กระแสรายวัน,Bank and Cash,nxpo_coa.chart,FALSE
account_11010201,11010201,เงินฝากธนาคาร-กระแสรายวัน บัญชีที่1,Bank and Cash,nxpo_coa.chart,TRUE
account_11010202,11010202,เงินฝากธนาคาร-กระแสรายวัน บัญชีที่2,Bank and Cash,nxpo_coa.chart,TRUE
account_11010300,11010300,เงินฝากธนาคาร-ออมทรัพย์,Bank and Cash,nxpo_coa.chart,FALSE
account_11010301,11010301,เงินฝากธนาคาร-ออมทรัพย์ KTB สาขาถนนศรีอยุธยา,Bank and Cash,nxpo_coa.chart,TRUE
account_11010302,11010302,เงินฝากธนาคาร-ออมทรัพย์ KTB สาขาจามจุรีสแควร์,Bank and Cash,nxpo_coa.chart,TRUE
account_11010303,11010303,เงินฝากธนาคาร-ซุปเปอร์ออมทรัพย์พิเศษ ธอส.สาขาสยามสแควร์,Bank and Cash,nxpo_coa.chart,TRUE
account_11010311,11010311,เงินฝากธนาคาร-ออมทรัพย์ KTB (สอวช.) สาขาจามจุรีสแควร์,Bank and Cash,nxpo_coa.chart,TRUE
account_11010312,11010312,เงินฝากธนาคาร-ออมทรัพย์ KTB SFB630009/0357-สอวช.,Bank and Cash,nxpo_coa.chart,TRUE
account_11010313,11010313,เงินฝากธนาคาร-ออมทรัพย์ KTB SFB0002/0357 โดย สอวช.,Bank and Cash,nxpo_coa.chart,TRUE
account_11010314,11010314,เงินฝากธนาคาร-ออมทรัพย์ KTB SFB630002/0407-บพท. โดย สอวช.,Bank and Cash,nxpo_coa.chart,TRUE
account_11010315,11010315,เงินฝากธนาคาร-ออมทรัพย์ KTB SFB630001/0405-บพค. โดย สอวช.,Bank and Cash,nxpo_coa.chart,TRUE
account_11010316,11010316,เงินฝากธนาคาร-ออมทรัพย์ KTB SFB630003/0406-บพข. โดย สอวช.,Bank and Cash,nxpo_coa.chart,TRUE
account_11010317,11010317,เงินฝากธนาคาร-ออมทรัพย์ BBL สาขาจามจุรีสแควร์,Bank and Cash,nxpo_coa.chart,TRUE
a_recv,11020000,ลูกหนี้การค้า (สุทธิ),Receivable,nxpo_coa.chart,TRUE
account_11020101,11020101,ลูกหนี้การค้า - ในประเทศ หน่วยงานภาครัฐ,Receivable,nxpo_coa.chart,TRUE
account_11020201,11020201,ลูกหนี้การค้า - ในประเทศ หน่วยงานเอกชน,Receivable,nxpo_coa.chart,TRUE
account_11030101,11030101,เงินยืมทดรองจ่าย,Current Liabilities,nxpo_coa.chart,TRUE
account_13040000,13040000,ครุภัณฑ์ (สุทธิ),Fixed Assets,nxpo_coa.chart,FALSE
account_13040100,13040100,ครุภัณฑ์,Fixed Assets,nxpo_coa.chart,FALSE
account_13040101,13040101,ครุภัณฑ์และอุปกรณ์สำนักงาน,Fixed Assets,nxpo_coa.chart,TRUE
account_13040103,13040103,ครุภัณฑ์และอุปกรณ์โฆษณาและเผยแพร่,Fixed Assets,nxpo_coa.chart,TRUE
account_13040104,13040104,ครุภัณฑ์และอุปกรณ์ไฟฟ้าและวิทยุ,Fixed Assets,nxpo_coa.chart,TRUE
account_13040105,13040105,ครุภัณฑ์และอุปกรณ์คอมพิวเตอร์,Fixed Assets,nxpo_coa.chart,TRUE
