id,name,activity_group_id,account_id
base.budget_activity_01,ค่าเดินทาง (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ,52216090
base.budget_activity_02,ค่าเบี้ยเลี้ยง (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ,52216090
base.budget_activity_03,ค่าที่พัก (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ,52216090
base.budget_activity_04,ค่าลงทะเบียน (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในประเทศ,52216090
base.budget_activity_05,ค่าเดินทาง (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ,52216090
base.budget_activity_06,ค่าเบี้ยเลี้ยง (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ,52216090
base.budget_activity_07,ค่าที่พัก (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ,52216090
base.budget_activity_08,ค่าลงทะเบียน (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ,52216090
base.budget_activity_09,ค่าธรรมเนียมวีซ่า (การประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ),ค่าใช้จ่ายในการประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากร ในต่างประเทศ,52216090
base.budget_activity_10,ค่าสถานที่ (การจัดประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากรในประเทศ,ค่าใช้จ่ายในการจัดประชุม/ อบรม-สัมมนา/ พัฒนาบุคลากรในประเทศ,52216090
